,Group,Profit Factor (Corr),Sharpe Ratio (Corr),Annualized Backtest Return (Corr),Profit per Trade (Corr)
0,D1M13,0.08469816390538837,0.6201702892856694,0.6797696586674453,-0.5552293333780857
1,H4M13,0.024199589149861308,0.19051986100045862,0.17914635779210186,-0.1996835337406739
2,H4M3,-0.10053003659399096,0.3119221901749904,0.3502628097268228,-0.15820180304446724
