,Group,Profit Factor (Corr),Sharpe Ratio (Corr),Annualized Backtest Return (Corr),Profit per Trade (Corr)
0,D1M13,-0.10228388070274161,0.5751457757544094,0.8394208013235188,-0.5524396140342187
1,H4M13,0.06396201809611851,0.15706802600859457,0.06415673002317784,-0.26373414586808996
2,H4M3,-0.09874046673532118,0.3527227346370917,0.4019228778669637,-0.15967911310643254
